"expid","id","group.demskill","session","trial","condition.obs","state","p1","p2","ctrial","clr","cgb","rtime","rgb","out"
15,"dem","skilled.dem",1,1,"Choice",2,0.6,0.4,1,-1,1,3.4901,"NA","NA"
15,15,"skilled.dem",1,2,"Choice",2,0.6,0.4,2,-1,1,0.75789,0,-1
15,"dem","skilled.dem",1,3,"Choice",2,0.6,0.4,3,1,1,0.72264,"NA","NA"
15,15,"skilled.dem",1,4,"Choice",2,0.6,0.4,4,-1,0,0.49155,0,-1
15,15,"skilled.dem",1,5,"Choice",2,0.6,0.4,5,1,1,0.82269,1,1
15,"dem","skilled.dem",1,6,"Choice",2,0.6,0.4,6,1,1,0.128,"NA","NA"
15,15,"skilled.dem",1,7,"Choice",2,0.6,0.4,7,-1,1,0.96872,0,-1
15,15,"skilled.dem",1,8,"Choice",2,0.6,0.4,8,-1,0,0.59614,0,-1
15,"dem","skilled.dem",1,9,"Choice",2,0.6,0.4,9,1,0,0.0056542,"NA","NA"
15,15,"skilled.dem",1,10,"Choice",2,0.6,0.4,10,1,1,0.43183,1,1
15,15,"skilled.dem",1,11,"Choice",2,0.6,0.4,11,1,1,0.10595,1,1
15,"dem","skilled.dem",1,12,"Choice",2,0.6,0.4,12,-1,1,0.55812,"NA","NA"
15,15,"skilled.dem",1,13,"Choice",2,0.6,0.4,13,1,1,0.00108,0,-1
15,15,"skilled.dem",1,14,"Choice",2,0.6,0.4,14,1,1,0.40884,1,1
15,"dem","skilled.dem",1,15,"Choice",2,0.6,0.4,15,-1,1,0.44909,"NA","NA"
15,"dem","skilled.dem",1,16,"Choice",2,0.6,0.4,16,-1,0,0.084601,"NA","NA"
15,"dem","skilled.dem",1,17,"Choice",2,0.6,0.4,17,1,1,0.092578,"NA","NA"
15,"dem","skilled.dem",1,18,"Choice",2,0.6,0.4,18,1,1,0.12802,"NA","NA"
15,15,"skilled.dem",1,19,"Choice",2,0.6,0.4,19,1,0,0.93063,0,-1
15,15,"skilled.dem",1,20,"Choice",2,0.6,0.4,20,-1,1,0.14142,1,1
15,"dem","skilled.dem",1,21,"Choice",2,0.6,0.4,21,-1,1,0.5367,"NA","NA"
