criterion,model,param,id,param_estimate
lpp,VS,alpha_p,3,0.125712025714337
lpp,VS,alpha_p,4,0.073512956367492
lpp,VS,alpha_p,5,0.098805708454491
lpp,VS,alpha_p,6,0.083919794611094
lpp,VS,alpha_p,7,0.135389826944463
lpp,VS,alpha_p,8,0.081049375371192
lpp,VS,alpha_p,9,0.220149552933613
lpp,VS,alpha_p,10,0.126862930653307
lpp,VS,alpha_p,11,0.647045287666861
lpp,VS,alpha_p,12,0.246687487188703
lpp,VS,alpha_p,13,0.117953346572247
lpp,VS,alpha_p,14,0.124661850132896
lpp,VS,alpha_p,15,0.045593287824999
lpp,VS,alpha_p,16,0.107072615506011
lpp,VS,alpha_p,17,0.553830716166195
lpp,VS,alpha_p,18,0.140592819845288
lpp,VS,alpha_p,19,0.136811439025922
lpp,VS,alpha_p,20,0.039708866914417
lpp,VS,alpha_p,21,0.202930591534521
lpp,VS,alpha_p,22,0.039737020698629
lpp,VS,alpha_p,23,0.103591887654282
lpp,VS,alpha_p,24,0.243691794584318
lpp,VS,alpha_p,25,0.05321785796503
lpp,VS,alpha_p,26,0.455756417833256
lpp,VS,alpha_i,3,0.002896548087319
lpp,VS,alpha_i,4,0.017141560793881
lpp,VS,alpha_i,5,0.002989984539442
lpp,VS,alpha_i,6,0.016228010125463
lpp,VS,alpha_i,7,0.027860701250777
lpp,VS,alpha_i,8,0.000770986880341
lpp,VS,alpha_i,9,0.015411454128446
lpp,VS,alpha_i,10,0.015745060728062
lpp,VS,alpha_i,11,0.08070263907835
lpp,VS,alpha_i,12,0.026692505163949
lpp,VS,alpha_i,13,0.032740879310306
lpp,VS,alpha_i,14,0.021693764571934
lpp,VS,alpha_i,15,0.006839325107317
lpp,VS,alpha_i,16,0.021147216659
lpp,VS,alpha_i,17,0.050679576817779
lpp,VS,alpha_i,18,0.007358527067654
lpp,VS,alpha_i,19,0.014093352557096
lpp,VS,alpha_i,20,0.004390233834243
lpp,VS,alpha_i,21,0.007236091384126
lpp,VS,alpha_i,22,0.000557445419747
lpp,VS,alpha_i,23,0.022549435499032
lpp,VS,alpha_i,24,0.03930602754325
lpp,VS,alpha_i,25,0.01047366779126
lpp,VS,alpha_i,26,0.014169375747199
