criterion,model,param,id,param_estimate
lpp,VS,alpha_p,15,0.41771641757101
lpp,VS,alpha_p,19,0.11910570045087
lpp,VS,alpha_p,30,0.104164722496195
lpp,VS,alpha_p,33,0.051913768789292
lpp,VS,alpha_p,35,0.422940861391663
lpp,VS,alpha_p,40,0.016371807258363
lpp,VS,alpha_p,42,0.911796753579803
lpp,VS,alpha_p,46,0.340753559357378
lpp,VS,alpha_p,48,0.144627782063271
lpp,VS,alpha_p,50,0.150594772950521
lpp,VS,alpha_p,51,0.067995372419954
lpp,VS,alpha_p,52,0.026375643072851
lpp,VS,alpha_p,53,0.126076660655831
lpp,VS,alpha_p,54,0.082951728539981
lpp,VS,alpha_p,55,0.122685385695993
lpp,VS,alpha_p,56,0.033083171426652
lpp,VS,alpha_p,60,0.45175470329383
lpp,VS,alpha_p,61,0.559409175369756
lpp,VS,alpha_p,65,0.267319013015622
lpp,VS,alpha_p,66,0.020848849193766
lpp,VS,alpha_p,67,0.418450522354029
lpp,VS,alpha_p,69,0.227992974964145
lpp,VS,alpha_i,15,0.222612031719054
lpp,VS,alpha_i,19,0.370451693079628
lpp,VS,alpha_i,30,0.013247126968469
lpp,VS,alpha_i,33,0.004472659375973
lpp,VS,alpha_i,35,0.107716443919451
lpp,VS,alpha_i,40,0.898652815841209
lpp,VS,alpha_i,42,0.065903472006137
lpp,VS,alpha_i,46,0.128813429791303
lpp,VS,alpha_i,48,0.075651999748704
lpp,VS,alpha_i,50,0.015016997342199
lpp,VS,alpha_i,51,0.017000464163752
lpp,VS,alpha_i,52,0.009071910155151
lpp,VS,alpha_i,53,0.037995839976176
lpp,VS,alpha_i,54,0.065335671165814
lpp,VS,alpha_i,55,0.016793595368528
lpp,VS,alpha_i,56,0.111675121234867
lpp,VS,alpha_i,60,0.419602562942319
lpp,VS,alpha_i,61,0.051182067183339
lpp,VS,alpha_i,65,0.066025748163663
lpp,VS,alpha_i,66,0.078528436031916
lpp,VS,alpha_i,67,0.018762988553877
lpp,VS,alpha_i,69,0.123627011315174
