criterion,model,param,id,param_estimate
lpp,VS,alpha_p,28,0.001048058519979
lpp,VS,alpha_p,31,0.185238459581256
lpp,VS,alpha_p,32,0.046242085656305
lpp,VS,alpha_p,34,0.034660273275288
lpp,VS,alpha_p,36,0.061397884913906
lpp,VS,alpha_p,37,0.549136990577567
lpp,VS,alpha_p,38,0.06963067816735
lpp,VS,alpha_p,39,0.061701659869337
lpp,VS,alpha_p,41,0.085831525716909
lpp,VS,alpha_p,43,0.327650539315768
lpp,VS,alpha_p,44,0.850494624406428
lpp,VS,alpha_p,45,0.021877776993947
lpp,VS,alpha_p,47,0.58819264006316
lpp,VS,alpha_p,49,0.097686361311277
lpp,VS,alpha_p,57,0.111735793389691
lpp,VS,alpha_p,58,0.056335892390172
lpp,VS,alpha_p,59,0.436941149584454
lpp,VS,alpha_p,62,0.097397277509667
lpp,VS,alpha_p,63,0.724371196730687
lpp,VS,alpha_p,64,0.076925726821328
lpp,VS,alpha_p,70,0.895174068770839
lpp,VS,alpha_p,72,0.968277104482431
lpp,VS,alpha_i,28,0.031273358377891
lpp,VS,alpha_i,31,0.002093956438235
lpp,VS,alpha_i,32,0.000452837873772
lpp,VS,alpha_i,34,0.00058036695118
lpp,VS,alpha_i,36,0.001693923111398
lpp,VS,alpha_i,37,0.194466158222806
lpp,VS,alpha_i,38,0.027684499213247
lpp,VS,alpha_i,39,0.000223506464388
lpp,VS,alpha_i,41,0.00981390146916
lpp,VS,alpha_i,43,0.075569950916476
lpp,VS,alpha_i,44,0.139105366645392
lpp,VS,alpha_i,45,0.004676640012831
lpp,VS,alpha_i,47,0.009700897065362
lpp,VS,alpha_i,49,0.050853288058918
lpp,VS,alpha_i,57,0.002893503551386
lpp,VS,alpha_i,58,0.0001648887381
lpp,VS,alpha_i,59,0.033081431518106
lpp,VS,alpha_i,62,0.00124161579547
lpp,VS,alpha_i,63,0.081227165418148
lpp,VS,alpha_i,64,0.004592872787089
lpp,VS,alpha_i,70,0.226207719034313
lpp,VS,alpha_i,72,0.491374739493821
