model,expid,variable,value
data,3,diff,-0.090909090909091
data,4,diff,0
data,5,diff,0.041666666666667
data,6,diff,-0.08
data,7,diff,-0.08695652173913
data,8,diff,-0.142857142857143
data,9,diff,0
data,10,diff,0.192307692307692
data,11,diff,-0.047619047619048
data,12,diff,0.074074074074074
data,13,diff,0
data,14,diff,-0.130434782608696
data,15,diff,0
data,16,diff,-0.083333333333333
data,17,diff,0.125
data,18,diff,-0.045454545454545
data,19,diff,0.166666666666667
data,20,diff,0.153846153846154
data,21,diff,-0.083333333333333
data,22,diff,0.083333333333333
data,23,diff,0
data,24,diff,0
data,25,diff,-0.038461538461539
data,26,diff,0.047619047619048
MB,3,diff,-0.029545454545455
DB1,3,diff,0.068181818181818
DB6,3,diff,0.043181818181818
VS,3,diff,0.022727272727273
MB,4,diff,-0.023684210526316
DB1,4,diff,0.044736842105263
DB6,4,diff,0.039473684210526
VS,4,diff,0.002631578947368
MB,5,diff,-0.00625
DB1,5,diff,0.00625
DB6,5,diff,0.0625
VS,5,diff,-0.035416666666667
MB,6,diff,-0.008
DB1,6,diff,-0.01
DB6,6,diff,-0.008
VS,6,diff,-0.002
MB,7,diff,-0.002173913043478
DB1,7,diff,0
DB6,7,diff,0.017391304347826
VS,7,diff,-0.010869565217391
MB,8,diff,0
DB1,8,diff,-0.033333333333333
DB6,8,diff,0.030952380952381
VS,8,diff,-0.033333333333333
MB,9,diff,-0.004166666666667
DB1,9,diff,-0.020833333333333
DB6,9,diff,-0.0125
VS,9,diff,-0.014583333333333
MB,10,diff,0.038461538461538
DB1,10,diff,0.190384615384615
DB6,10,diff,0.178846153846154
VS,10,diff,-0.003846153846154
MB,11,diff,-0.040476190476191
DB1,11,diff,0
DB6,11,diff,0.04047619047619
VS,11,diff,0.030952380952381
MB,12,diff,0.009259259259259
DB1,12,diff,0.225925925925926
DB6,12,diff,0.181481481481481
VS,12,diff,0.035185185185185
MB,13,diff,-0.011363636363636
DB1,13,diff,-0.020454545454546
DB6,13,diff,0.015909090909091
VS,13,diff,-0.013636363636364
MB,14,diff,0
DB1,14,diff,0.026086956521739
DB6,14,diff,0.017391304347826
VS,14,diff,0.021739130434783
MB,15,diff,-0.008695652173913
DB1,15,diff,-0.017391304347826
DB6,15,diff,0.015217391304348
VS,15,diff,-0.028260869565217
MB,16,diff,-0.002083333333333
DB1,16,diff,0.079166666666667
DB6,16,diff,0.125
VS,16,diff,0.033333333333333
MB,17,diff,-0.022916666666667
DB1,17,diff,0.047916666666667
DB6,17,diff,0.070833333333333
VS,17,diff,0.033333333333333
MB,18,diff,-0.045454545454545
DB1,18,diff,0.025
DB6,18,diff,0
VS,18,diff,0.018181818181818
MB,19,diff,-0.020833333333333
DB1,19,diff,0.020833333333333
DB6,19,diff,0.08125
VS,19,diff,0.00625
MB,20,diff,-0.023076923076923
DB1,20,diff,0.067307692307692
DB6,20,diff,0.028846153846154
VS,20,diff,-0.001923076923077
MB,21,diff,-0.010416666666667
DB1,21,diff,0.029166666666667
DB6,21,diff,0.083333333333333
VS,21,diff,0.020833333333333
MB,22,diff,-0.01875
DB1,22,diff,0.01875
DB6,22,diff,-0.029166666666667
VS,22,diff,-0.014583333333333
MB,23,diff,-0.02
DB1,23,diff,0.014
DB6,23,diff,0.11
VS,23,diff,0.006
MB,24,diff,-0.021428571428572
DB1,24,diff,0.026190476190476
DB6,24,diff,0.038095238095238
VS,24,diff,-0.011904761904762
MB,25,diff,-0.007692307692308
DB1,25,diff,-0.017307692307692
DB6,25,diff,-0.007692307692308
VS,25,diff,0.013461538461538
MB,26,diff,-0.002380952380952
DB1,26,diff,0.019047619047619
DB6,26,diff,0.011904761904762
VS,26,diff,-0.016666666666667
