model,expid,variable,value
data,15,diff,0.260869565217391
data,19,diff,-0.037037037037037
data,30,diff,0
data,33,diff,-0.133333333333333
data,35,diff,0.064516129032258
data,40,diff,0.176470588235294
data,42,diff,-0.071428571428572
data,46,diff,-0.074074074074074
data,48,diff,0
data,50,diff,-0.111111111111111
data,51,diff,-0.148148148148148
data,52,diff,0.03125
data,53,diff,0.115384615384615
data,54,diff,0.214285714285714
data,55,diff,-0.066666666666667
data,56,diff,0.03125
data,60,diff,0.125
data,61,diff,-0.103448275862069
data,65,diff,0.096774193548387
data,66,diff,-0.166666666666667
data,67,diff,-0.066666666666667
data,69,diff,0
MB,15,diff,0.108695652173913
DB1,15,diff,0.134782608695652
DB6,15,diff,0.095652173913044
VS,15,diff,0.078260869565217
MB,19,diff,-0.003703703703704
DB1,19,diff,0.044444444444444
DB6,19,diff,-0.022222222222222
VS,19,diff,-0.003703703703704
MB,30,diff,-0.07
DB1,30,diff,-0.013333333333333
DB6,30,diff,-0.03
VS,30,diff,-0.023333333333333
MB,33,diff,-0.033333333333333
DB1,33,diff,0.016666666666667
DB6,33,diff,-0.05
VS,33,diff,-0.03
MB,35,diff,-0.019354838709677
DB1,35,diff,0.019354838709678
DB6,35,diff,-0.012903225806452
VS,35,diff,-0.016129032258065
MB,40,diff,-0.008823529411765
DB1,40,diff,0
DB6,40,diff,0.008823529411765
VS,40,diff,0.035294117647059
MB,42,diff,-0.035714285714286
DB1,42,diff,-0.014285714285714
DB6,42,diff,-0.003571428571429
VS,42,diff,0.028571428571429
MB,46,diff,0.02962962962963
DB1,46,diff,0.022222222222222
DB6,46,diff,-0.051851851851852
VS,46,diff,0.02962962962963
MB,48,diff,-0.025
DB1,48,diff,0.107142857142857
DB6,48,diff,0
VS,48,diff,-0.010714285714286
MB,50,diff,0.033333333333333
DB1,50,diff,-0.022222222222222
DB6,50,diff,-0.037037037037037
VS,50,diff,-0.02962962962963
MB,51,diff,-0.107407407407407
DB1,51,diff,0.003703703703704
DB6,51,diff,-0.062962962962963
VS,51,diff,-0.107407407407407
MB,52,diff,0.115625
DB1,52,diff,0.10625
DB6,52,diff,0.06875
VS,52,diff,0.059375
MB,53,diff,0.069230769230769
DB1,53,diff,0.019230769230769
DB6,53,diff,0.061538461538462
VS,53,diff,0.026923076923077
MB,54,diff,-0.017857142857143
DB1,54,diff,0.142857142857143
DB6,54,diff,0.053571428571429
VS,54,diff,-0.010714285714286
MB,55,diff,-0.043333333333333
DB1,55,diff,-0.056666666666667
DB6,55,diff,-0.016666666666667
VS,55,diff,-0.003333333333333
MB,56,diff,0.03125
DB1,56,diff,0.04375
DB6,56,diff,0.025
VS,56,diff,-0.015625
MB,60,diff,-0.01875
DB1,60,diff,0.146875
DB6,60,diff,0.071875
VS,60,diff,0.053125
MB,61,diff,-0.020689655172414
DB1,61,diff,-0.010344827586207
DB6,61,diff,-0.024137931034483
VS,61,diff,0
MB,65,diff,0.045161290322581
DB1,65,diff,0.090322580645161
DB6,65,diff,-0.012903225806452
VS,65,diff,0.051612903225807
MB,66,diff,-0.0375
DB1,66,diff,0.008333333333333
DB6,66,diff,-0.025
VS,66,diff,-0.0125
MB,67,diff,0.06
DB1,67,diff,0.016666666666667
DB6,67,diff,-0.026666666666667
VS,67,diff,-0.026666666666667
MB,69,diff,0.011538461538462
DB1,69,diff,0.046153846153846
DB6,69,diff,0.034615384615385
VS,69,diff,0
