model,expid,variable,value
data,15,diff,-0.058823529411765
data,19,diff,0.171428571428571
data,30,diff,0
data,33,diff,0.161290322580645
data,35,diff,-0.026315789473684
data,40,diff,-0.264705882352941
data,42,diff,0.111111111111111
data,46,diff,0
data,48,diff,0
data,50,diff,0
data,51,diff,0.033333333333333
data,52,diff,0.060606060606061
data,53,diff,-0.076923076923077
data,54,diff,0.05
data,55,diff,-0.176470588235294
data,56,diff,-0.081081081081081
data,60,diff,0.170731707317073
data,61,diff,0.032258064516129
data,65,diff,0.027777777777778
data,66,diff,0
data,67,diff,0.081081081081081
data,69,diff,0.028571428571429
MB,15,diff,-0.007352941176471
DB1,15,diff,0.022058823529412
DB6,15,diff,0.011764705882353
VS,15,diff,-0.004411764705882
MB,19,diff,0.01
DB1,19,diff,0.062857142857143
DB6,19,diff,0.022857142857143
VS,19,diff,0.025714285714286
MB,30,diff,-0.015277777777778
DB1,30,diff,0.030555555555556
DB6,30,diff,0.061111111111111
VS,30,diff,0
MB,33,diff,0.009677419354839
DB1,33,diff,0.025806451612903
DB6,33,diff,0.046774193548387
VS,33,diff,0.001612903225806
MB,35,diff,-0.002631578947368
DB1,35,diff,-0.068421052631579
DB6,35,diff,0.032894736842105
VS,35,diff,0.036842105263158
MB,40,diff,-0.011764705882353
DB1,40,diff,0.002941176470588
DB6,40,diff,0.026470588235294
VS,40,diff,-0.008823529411765
MB,42,diff,0.015277777777778
DB1,42,diff,-0.015277777777778
DB6,42,diff,0.056944444444445
VS,42,diff,0.018055555555556
MB,46,diff,0
DB1,46,diff,0.010606060606061
DB6,46,diff,0.043939393939394
VS,46,diff,0.048484848484849
MB,48,diff,-0.020588235294118
DB1,48,diff,0.058823529411765
DB6,48,diff,0.060294117647059
VS,48,diff,0.005882352941176
MB,50,diff,0.014473684210526
DB1,50,diff,-0.026315789473684
DB6,50,diff,0.002631578947368
VS,50,diff,-0.046052631578947
MB,51,diff,-0.033333333333333
DB1,51,diff,-0.02
DB6,51,diff,0.063333333333333
VS,51,diff,-0.03
MB,52,diff,-0.040909090909091
DB1,52,diff,0.036363636363636
DB6,52,diff,0.012121212121212
VS,52,diff,-0.018181818181818
MB,53,diff,-0.012820512820513
DB1,53,diff,0.015384615384615
DB6,53,diff,0.075641025641026
VS,53,diff,-0.003846153846154
MB,54,diff,0.0175
DB1,54,diff,0.09625
DB6,54,diff,0.0775
VS,54,diff,-0.01875
MB,55,diff,-0.025
DB1,55,diff,-0.010294117647059
DB6,55,diff,0.026470588235294
VS,55,diff,0.016176470588235
MB,56,diff,-0.027027027027027
DB1,56,diff,0.055405405405405
DB6,56,diff,0.086486486486487
VS,56,diff,-0.009459459459459
MB,60,diff,-0.004878048780488
DB1,60,diff,0.154878048780488
DB6,60,diff,0.179268292682927
VS,60,diff,0.068292682926829
MB,61,diff,0.014516129032258
DB1,61,diff,-0.040322580645161
DB6,61,diff,-0.009677419354839
VS,61,diff,0
MB,65,diff,-0.018055555555556
DB1,65,diff,0.055555555555556
DB6,65,diff,0.031944444444444
VS,65,diff,0.036111111111111
MB,66,diff,0.007352941176471
DB1,66,diff,-0.04264705882353
DB6,66,diff,-0.032352941176471
VS,66,diff,-0.011764705882353
MB,67,diff,0.006756756756757
DB1,67,diff,0.021621621621622
DB6,67,diff,0.009459459459459
VS,67,diff,0.018918918918919
MB,69,diff,-0.002857142857143
DB1,69,diff,0.024285714285714
DB6,69,diff,0.074285714285714
VS,69,diff,0.034285714285714
