exp,group.visDemRaven,group,criterion,model,param,id,param_estimate
exp3,hidden,unskilled,lpp,VS,alpha_i,401,0.126698705318808
exp3,hidden,skilled,lpp,VS,alpha_i,402,0.065438739986347
exp3,hidden,unskilled,lpp,VS,alpha_i,403,0.174543091896329
exp3,hidden,skilled,lpp,VS,alpha_i,404,0.066533243692008
exp3,hidden,unskilled,lpp,VS,alpha_i,405,0.003464393356123
exp3,hidden,skilled,lpp,VS,alpha_i,406,0.252784333455888
exp3,hidden,unskilled,lpp,VS,alpha_i,407,0.044728692238043
exp3,hidden,skilled,lpp,VS,alpha_i,408,0.190308473413133
exp3,hidden,unskilled,lpp,VS,alpha_i,409,0.105958490846212
exp3,hidden,skilled,lpp,VS,alpha_i,410,0.16035923681989
exp3,hidden,unskilled,lpp,VS,alpha_i,411,0.334657453085917
exp3,hidden,skilled,lpp,VS,alpha_i,412,0.007055236360988
exp3,hidden,unskilled,lpp,VS,alpha_i,413,0.098969446216443
exp3,hidden,skilled,lpp,VS,alpha_i,414,0.187552127490012
exp3,hidden,unskilled,lpp,VS,alpha_i,415,0.266391370199273
exp3,hidden,skilled,lpp,VS,alpha_i,416,0.128306917474748
exp3,hidden,unskilled,lpp,VS,alpha_i,417,0.028323867305781
exp3,hidden,skilled,lpp,VS,alpha_i,418,0.4094815707966
exp3,hidden,unskilled,lpp,VS,alpha_i,419,0.095467675164568
exp3,hidden,skilled,lpp,VS,alpha_i,420,0.037825019990011
exp3,hidden,unskilled,lpp,VS,alpha_i,421,0.275377716179305
exp3,hidden,skilled,lpp,VS,alpha_i,422,0.353266949343816
exp3,hidden,unskilled,lpp,VS,alpha_i,501,0.014105112678051
exp3,hidden,skilled,lpp,VS,alpha_i,502,0.003877076991046
exp3,hidden,unskilled,lpp,VS,alpha_i,503,0.268262926655079
exp3,hidden,skilled,lpp,VS,alpha_i,504,0.229345477594796
exp3,hidden,unskilled,lpp,VS,alpha_i,505,0.195628838102174
exp3,hidden,skilled,lpp,VS,alpha_i,506,0.218488180266049
exp3,hidden,unskilled,lpp,VS,alpha_i,507,0.458022056975654
exp3,hidden,skilled,lpp,VS,alpha_i,508,0.459013664246859
exp3,hidden,unskilled,lpp,VS,alpha_i,509,0.223757812928428
exp3,hidden,skilled,lpp,VS,alpha_i,510,0.153252788579056
exp3,hidden,unskilled,lpp,VS,alpha_i,511,0.26610497861229
exp3,hidden,skilled,lpp,VS,alpha_i,512,0.619744812180895
exp3,hidden,unskilled,lpp,VS,alpha_i,513,0.225403420658158
exp3,hidden,skilled,lpp,VS,alpha_i,514,0.098260213532319
exp3,hidden,unskilled,lpp,VS,alpha_i,515,0.315201273100749
exp3,hidden,skilled,lpp,VS,alpha_i,516,0.350936992616054
exp3,hidden,unskilled,lpp,VS,alpha_i,517,0.129130679185093
exp3,hidden,skilled,lpp,VS,alpha_i,518,0.796864948071299
exp3,hidden,unskilled,lpp,VS,alpha_i,519,0.1950016413196
exp3,hidden,skilled,lpp,VS,alpha_i,520,0.004767365147754
exp3,hidden,unskilled,lpp,VS,alpha_i,1001,0.280620564386456
exp3,hidden,skilled,lpp,VS,alpha_i,1002,0.066111723796509
exp3,hidden,unskilled,lpp,VS,alpha_i,1003,0.417035946222521
exp3,hidden,skilled,lpp,VS,alpha_i,1004,0.302800703031097
exp3,hidden,unskilled,lpp,VS,alpha_i,1005,0.003356605511021
exp3,hidden,skilled,lpp,VS,alpha_i,1006,0.070233487336346
exp3,hidden,unskilled,lpp,VS,alpha_i,1007,0.016907710318581
exp3,hidden,skilled,lpp,VS,alpha_i,1008,0.009337442576121
exp3,hidden,unskilled,lpp,VS,alpha_i,1009,0.170494196788163
exp3,hidden,skilled,lpp,VS,alpha_i,1010,0.57523920473269
exp3,hidden,unskilled,lpp,VS,alpha_i,1011,0.127310241589938
exp3,hidden,skilled,lpp,VS,alpha_i,1012,0.014697786438984
exp3,hidden,unskilled,lpp,VS,alpha_i,1013,0.110785802018686
exp3,hidden,skilled,lpp,VS,alpha_i,1014,0.109178214583654
exp3,hidden,unskilled,lpp,VS,alpha_i,1015,0.211816445880476
exp3,hidden,skilled,lpp,VS,alpha_i,1016,0.199576573095085
exp3,hidden,unskilled,lpp,VS,alpha_i,1017,0.190668453887564
exp3,hidden,skilled,lpp,VS,alpha_i,1018,0.249068216022545
exp3,hidden,unskilled,lpp,VS,alpha_i,1019,0.124215757576658
exp3,hidden,skilled,lpp,VS,alpha_i,1020,0.046095777312102
exp3,hidden,unskilled,lpp,VS,alpha_i,1101,0.497366563055186
exp3,hidden,skilled,lpp,VS,alpha_i,1102,0.893790196559218
exp3,hidden,unskilled,lpp,VS,alpha_i,1103,0.195153758364887
exp3,hidden,skilled,lpp,VS,alpha_i,1104,0.083276475345844
exp3,hidden,unskilled,lpp,VS,alpha_i,1105,0.138698650417313
exp3,hidden,skilled,lpp,VS,alpha_i,1106,0.011516022246549
exp3,hidden,unskilled,lpp,VS,alpha_i,1107,0.03367095548458
exp3,hidden,skilled,lpp,VS,alpha_i,1108,0.00686484084308
exp3,hidden,unskilled,lpp,VS,alpha_i,1109,0.0997430825296
exp3,hidden,skilled,lpp,VS,alpha_i,1110,0.217719234196886
exp3,hidden,unskilled,lpp,VS,alpha_i,1111,0.045714974411272
exp3,hidden,skilled,lpp,VS,alpha_i,1112,0.170846144749512
exp3,hidden,skilled,lpp,VS,alpha_i,10501,0.070243742400743
exp3,hidden,unskilled,lpp,VS,alpha_i,10502,0.01705817086884
exp3,hidden,skilled,lpp,VS,alpha_i,10503,0.228079113797503
exp3,hidden,unskilled,lpp,VS,alpha_i,10504,0.066722958934203
exp3,hidden,skilled,lpp,VS,alpha_i,10505,0.1701933630017
exp3,hidden,unskilled,lpp,VS,alpha_i,10506,0.092690575982178
exp3,hidden,skilled,lpp,VS,alpha_i,10507,0.314079450536993
exp3,hidden,unskilled,lpp,VS,alpha_i,10508,0.219976232453015
exp3,hidden,skilled,lpp,VS,alpha_i,10509,0.014548520325828
exp3,hidden,unskilled,lpp,VS,alpha_i,10510,0.134850709417219
exp3,hidden,skilled,lpp,VS,alpha_i,10511,0.079223592938067
exp3,hidden,unskilled,lpp,VS,alpha_i,10512,0.187224574763225
exp3,hidden,skilled,lpp,VS,alpha_i,10513,0.010309280000904
exp3,hidden,skilled,lpp,VS,alpha_i,10601,0.019471723429384
exp3,hidden,unskilled,lpp,VS,alpha_i,10602,0.116885675027512
exp3,hidden,skilled,lpp,VS,alpha_i,10603,0.008285656867957
exp3,hidden,unskilled,lpp,VS,alpha_i,10604,0.069051849125482
exp3,hidden,skilled,lpp,VS,alpha_i,10605,0.097102270493336
exp3,hidden,unskilled,lpp,VS,alpha_i,10606,0.126008422145961
exp3,hidden,skilled,lpp,VS,alpha_i,10607,0.045142283081554
exp3,hidden,unskilled,lpp,VS,alpha_i,10608,0.060303548101356
exp3,hidden,skilled,lpp,VS,alpha_i,10609,0.033183543097142
exp3,hidden,unskilled,lpp,VS,alpha_i,10610,0.137948840728298
exp3,hidden,skilled,lpp,VS,alpha_i,10611,0.086359888944059
exp3,hidden,unskilled,lpp,VS,alpha_i,10612,0.250076188238185
exp3,hidden,skilled,lpp,VS,alpha_i,10701,0.103196025761636
exp3,hidden,unskilled,lpp,VS,alpha_i,10702,0.257011074434546
exp3,hidden,skilled,lpp,VS,alpha_i,10703,0.145873352755855
exp3,hidden,unskilled,lpp,VS,alpha_i,10704,0.203089609586501
exp3,hidden,skilled,lpp,VS,alpha_i,10801,0.146646869022638
exp3,hidden,unskilled,lpp,VS,alpha_i,10802,0.043136659136032
exp3,hidden,skilled,lpp,VS,alpha_i,10803,0.00545588552881
exp3,hidden,unskilled,lpp,VS,alpha_i,10804,0.090143751571161
exp3,hidden,unskilled,lpp,VS,alpha_i,10806,0.019212239386631
exp3,hidden,skilled,lpp,VS,alpha_i,10807,0.415526676283302
exp3,hidden,unskilled,lpp,VS,alpha_i,10808,0.067711167102075
exp3,hidden,skilled,lpp,VS,alpha_i,10809,0.085389329149996
exp3,hidden,unskilled,lpp,VS,alpha_i,10810,0.101794150172176
exp3,hidden,skilled,lpp,VS,alpha_i,10811,0.00784939390785
exp3,hidden,unskilled,lpp,VS,alpha_i,10812,0.169112302592992
exp3,hidden,skilled,lpp,VS,alpha_i,10813,0.416974448753035
exp3,hidden,unskilled,lpp,VS,alpha_i,10814,0.007275543197498
exp3,hidden,skilled,lpp,VS,alpha_i,10815,0.170500405921593
exp3,hidden,unskilled,lpp,VS,alpha_i,10816,0.218540483892251
exp3,hidden,skilled,lpp,VS,alpha_i,10817,0.116827589989561
exp3,hidden,unskilled,lpp,VS,alpha_i,10818,0.093082006872675
exp3,hidden,skilled,lpp,VS,alpha_i,10819,0.006326829001208
exp3,hidden,unskilled,lpp,VS,alpha_i,10902,0.080443771657986
exp3,hidden,skilled,lpp,VS,alpha_i,10903,0.150064518286559
exp3,hidden,unskilled,lpp,VS,alpha_i,10904,0.050675137099684
exp3,hidden,skilled,lpp,VS,alpha_i,10905,0.110793258104746
exp3,hidden,unskilled,lpp,VS,alpha_i,10906,0.508877034651871
exp3,hidden,skilled,lpp,VS,alpha_i,10907,0.216776086406031
exp3,hidden,unskilled,lpp,VS,alpha_i,10908,0.081066842927582
exp3,hidden,skilled,lpp,VS,alpha_i,10909,0.358757515739272
exp3,hidden,unskilled,lpp,VS,alpha_i,10910,0.003996463219386
exp3,hidden,skilled,lpp,VS,alpha_i,10911,0.440101311164855
exp3,hidden,unskilled,lpp,VS,alpha_i,10912,0.084141091477469
exp3,hidden,skilled,lpp,VS,alpha_i,10913,0.137351803966764
exp3,hidden,unskilled,lpp,VS,alpha_i,10914,0.606939562853076
exp3,hidden,skilled,lpp,VS,alpha_i,10915,0.242078364835241
exp3,hidden,unskilled,lpp,VS,alpha_i,10916,0.1396973074834
exp3,hidden,skilled,lpp,VS,alpha_i,10917,0.161014644577758
exp3,hidden,unskilled,lpp,VS,alpha_i,10918,0.97609719288391
exp3,hidden,skilled,lpp,VS,alpha_i,10919,0.455696682033475
exp3,hidden,unskilled,lpp,VS,alpha_i,10920,0.173603185141711
exp3,hidden,skilled,lpp,VS,alpha_i,10921,0.161442817533164
exp3,hidden,unskilled,lpp,VS,alpha_i,10922,0.19183174322986
exp3,hidden,skilled,lpp,VS,alpha_i,10923,0.004314392419665
exp3,visible,unskilled,lpp,VS,alpha_i,601,0.13008932732197
exp3,visible,skilled,lpp,VS,alpha_i,602,0.286228926297795
exp3,visible,unskilled,lpp,VS,alpha_i,603,0.205494323107541
exp3,visible,skilled,lpp,VS,alpha_i,604,0.052185682691826
