"p1","p2","trial"
0.5,0.5,1
0.3233025,0.6537062,2
0.3112124,0.7125723,3
0.2130342,0.8125724,4
0.203243,0.8326809,5
0.2264608,0.8928533,6
0.2499905,0.9486493,7
0.2611376,0.9295029,8
0.3643597,0.8740686,9
0.4450619,0.7775825,10
0.4891809,0.7251588,11
0.5092004,0.6927606,12
0.4648713,0.6947727,13
0.3598274,0.7276576,14
0.249834,0.7425814,15
0.1486791,0.7543824,16
0.0999883,0.7959231,17
0.1057714,0.8277702,18
0.1057714,0.8503197,19
0.0885449,0.9318819,20
0.0955689,0.9655241,21
0.1106052,0.9633132,22
0.0736876,0.9633132,23
0.132174,0.926816,24
0.1283194,0.8317592,25
0.1212955,0.7949982,26
0.0759888,0.6902629,27
0.1604154,0.5371636,28
0.301929,0.3850517,29
0.501929,0.3461106,30
0.6375696,0.2173475,31
0.8002094,0.1495711,32
0.8851507,0.1407297,33
0.8851507,0.1311399,34
0.8154098,0.1093046,35
0.7931567,0.1895784,36
0.7605044,0.2396435,37
0.7134822,0.2302401,38
0.7134822,0.2573785,39
0.7590834,0.2319298,40
0.826207,0.1692966,41
0.8844488,0.1136397,42
0.9446005,0.0989295,43
0.9446005,0.1221932,44
0.9687403,0.1341137,45
0.9882292,0.1467928,46
0.9809195,0.1461028,47
0.9421731,0.1339566,48
0.8798243,0.107774,49
0.7569895,0.1379074,50
0.6275461,0.1807082,51
0.554488,0.2795426,52
0.4618378,0.3559281,53
0.425449,0.4161309,54
0.479307,0.4758831,55
0.5129372,0.5144023,56
0.5642231,0.5190547,57
0.5875192,0.5109934,58
0.6481576,0.5426037,59
0.6386372,0.5838942,60
0.6170052,0.6424208,61
0.5348653,0.7199383,62
0.4733929,0.7673698,63
0.3853498,0.8050492,64
0.3765373,0.7965027,65
0.3557476,0.7949333,66
0.421764,0.7401024,67
0.5000728,0.7613968,68
0.5628961,0.7928975,69
0.5361414,0.8151326,70
0.6082206,0.7521147,71
0.5620395,0.7395478,72
0.5292822,0.7723718,73
0.4387504,0.718136,74
0.4133722,0.7014022,75
0.390992,0.7207633,76
0.3988809,0.6957127,77
0.3749496,0.6177697,78
0.4160868,0.5802837,79
0.4278363,0.5072359,80
0.3637544,0.5074118,81
0.3263253,0.5399602,82
0.4374866,0.5480298,83
0.5291563,0.5388793,84
0.5486559,0.531105,85
0.6487666,0.4693541,86
0.7581224,0.3684977,87
0.7504971,0.3000716,88
0.7271702,0.2612455,89
0.8052686,0.2163045,90
0.7322211,0.2455199,91
0.6816338,0.3082158,92
0.6580728,0.4510192,93
0.5727572,0.5798919,94
0.4731473,0.7468854,95
0.4213845,0.8077544,96
0.2953135,0.7900067,97
0.1738265,0.6894867,98
0.1673178,0.6028579,99
0.1651203,0.4916723,100
0.2334481,0.4543139,101
0.3315069,0.496525,102
0.4433021,0.5024774,103
0.5212595,0.4620063,104
0.610846,0.3958318,105
0.6044279,0.3500434,106
0.6174377,0.2974374,107
0.6205334,0.3325115,108
0.6350622,0.3703951,109
0.5779395,0.4504469,110
0.5890349,0.4750696,111
0.6094981,0.4405316,112
0.565267,0.3594173,113
0.5067412,0.3287893,114
0.4520578,0.2512786,115
0.3939467,0.2081776,116
0.3439701,0.2348589,117
0.327577,0.2126177,118
0.3217721,0.156274,119
0.3606891,0.1643169,120
0.443836,0.125233,121
0.4826456,0.1031833,122
0.5521325,0.1293157,123
0.616093,0.2370909,124
0.7082341,0.2914737,125
0.7251277,0.3080262,126
0.7230757,0.2779559,127
0.738013,0.245461,128
0.7256036,0.1609245,129
0.7051493,0.1403393,130
0.7017459,0.1996689,131
0.6311965,0.2614632,132
0.564209,0.3262989,133
0.5106416,0.3431936,134
0.4750727,0.4039326,135
0.4454794,0.4065886,136
0.5285339,0.3728424,137
0.6462952,0.3010404,138
0.7563511,0.282282,139
0.8354381,0.1646476,140
0.9176106,0.0733693,141
0.9325036,0.0353576,142
0.8337383,0.0353576,143
0.7254634,0.0349849,144
0.653623,0.0501948,145
0.6389177,0.1228603,146
0.6243532,0.2712371,147
0.6871592,0.3861959,148
0.7787909,0.5664294,149
0.8202036,0.5747942,150
0.1797964,0.4252058,151
0.2212091,0.4335706,152
0.3128407,0.6138041,153
0.3756468,0.7287629,154
0.3610823,0.8771397,155
0.346377,0.9498052,156
0.2745366,0.9650151,157
0.1662618,0.9646424,158
0.0674964,0.9646424,159
0.0823894,0.9266307,160
0.1645619,0.8353524,161
0.2436489,0.717718,162
0.3537048,0.6989595,163
0.4714662,0.6271576,164
0.5545207,0.5934114,165
0.5249273,0.5960674,166
0.4893584,0.6568064,167
0.435791,0.6737011,168
0.3688035,0.7385368,169
0.2982541,0.8003311,170
0.2948507,0.8596607,171
0.2743964,0.8390755,172
0.261987,0.754539,173
0.2769243,0.7220441,174
0.2748723,0.6919738,175
0.2917659,0.7085263,176
0.383907,0.7629092,177
0.4478675,0.8706843,178
0.5173544,0.8968167,179
0.556164,0.874767,180
0.6393109,0.8356831,181
0.6782279,0.843726,182
0.672423,0.7873823,183
0.6560299,0.7651411,184
0.6060533,0.7918224,185
0.5479422,0.7487214,186
0.4932588,0.6712107,187
0.4347331,0.6405827,188
0.3905019,0.5594684,189
0.4109652,0.5249304,190
0.4220605,0.5495531,191
0.3649378,0.6296049,192
0.3794666,0.6674885,193
0.3825623,0.7025626,194
0.3955721,0.6499565,195
0.389154,0.6041682,196
0.4787405,0.5379937,197
0.5566979,0.4975226,198
0.6684931,0.503475,199
0.7665519,0.5456861,200
