exp,id,cond,perf
exp1,3,skilled,-0.2
exp1,4,skilled,-0.075
exp1,5,skilled,-0.05
exp1,6,skilled,0.2
exp1,7,skilled,0.0375
exp1,8,skilled,-0.075
exp1,9,skilled,0.1375
exp1,10,skilled,0.0875
exp1,11,skilled,0.15
exp1,12,skilled,-0.1
exp1,13,skilled,0.3875
exp1,14,skilled,-0.1
exp1,15,skilled,-0.1875
exp1,16,skilled,0.175
exp1,17,skilled,-0.0875
exp1,18,skilled,0.0875
exp1,19,skilled,0.1125
exp1,20,skilled,0.35
exp1,21,skilled,0.1125
exp1,22,skilled,-0.3875
exp1,23,skilled,0.0875
exp1,24,skilled,0
exp1,25,skilled,-0.025
exp1,26,skilled,-0.125
exp1,3,unskilled,-0.025
exp1,4,unskilled,-0.225
exp1,5,unskilled,-0.0875
exp1,6,unskilled,-0.125
exp1,7,unskilled,-0.0875
exp1,8,unskilled,0.0125
exp1,9,unskilled,0.075
exp1,10,unskilled,0.0875
exp1,11,unskilled,0.1
exp1,12,unskilled,-0.0625
exp1,13,unskilled,0.2125
exp1,14,unskilled,-0.125
exp1,15,unskilled,-0.35
exp1,16,unskilled,0.025
exp1,17,unskilled,0.0625
exp1,18,unskilled,0.125
exp1,19,unskilled,0.075
exp1,20,unskilled,0.4375
exp1,21,unskilled,0.0875
exp1,22,unskilled,-0.2375
exp1,23,unskilled,-0.0625
exp1,24,unskilled,-0.125
exp1,25,unskilled,-0.075
exp1,26,unskilled,0.0375
