exp,id,group,cond,perf
exp2,15,skilled,Choice,0.733333333333333
exp2,15,skilled,Private,0.633333333333333
exp2,19,skilled,Choice,0.533333333333333
exp2,19,skilled,Private,0.466666666666667
exp2,28,unskilled,Choice,0.383333333333333
exp2,28,unskilled,Private,0.65
exp2,30,skilled,Choice,0.658333333333333
exp2,30,skilled,Private,0.55
exp2,31,unskilled,Choice,0.683333333333333
exp2,31,unskilled,Private,0.766666666666667
exp2,32,unskilled,Choice,0.65
exp2,32,unskilled,Private,0.733333333333333
exp2,33,skilled,Choice,0.716666666666667
exp2,33,skilled,Private,0.8
exp2,34,unskilled,Choice,0.716666666666667
exp2,34,unskilled,Private,0.8
exp2,35,skilled,Choice,0.608333333333333
exp2,35,skilled,Private,0.533333333333333
exp2,36,unskilled,Choice,0.641666666666667
exp2,36,unskilled,Private,0.65
exp2,37,unskilled,Choice,0.483333333333333
exp2,37,unskilled,Private,0.583333333333333
exp2,38,unskilled,Choice,0.491666666666667
exp2,38,unskilled,Private,0.616666666666667
exp2,39,unskilled,Choice,0.708333333333333
exp2,39,unskilled,Private,0.85
exp2,40,skilled,Choice,0.525
exp2,40,skilled,Private,0.516666666666667
exp2,41,unskilled,Choice,0.591666666666667
exp2,41,unskilled,Private,0.633333333333333
exp2,42,skilled,Choice,0.483333333333333
exp2,42,skilled,Private,0.533333333333333
exp2,43,unskilled,Choice,0.508333333333333
exp2,43,unskilled,Private,0.583333333333333
exp2,44,unskilled,Choice,0.625
exp2,44,unskilled,Private,0.533333333333333
exp2,45,unskilled,Choice,0.475
exp2,45,unskilled,Private,0.533333333333333
exp2,46,skilled,Choice,0.591666666666667
exp2,46,skilled,Private,0.633333333333333
exp2,47,unskilled,Choice,0.616666666666667
exp2,47,unskilled,Private,0.416666666666667
exp2,48,skilled,Choice,0.791666666666667
exp2,48,skilled,Private,0.75
exp2,49,unskilled,Choice,0.366666666666667
exp2,49,unskilled,Private,0.75
exp2,50,skilled,Choice,0.7
exp2,50,skilled,Private,0.533333333333333
exp2,51,skilled,Choice,0.741666666666667
exp2,51,skilled,Private,0.75
exp2,52,skilled,Choice,0.7
exp2,52,skilled,Private,0.566666666666667
exp2,53,skilled,Choice,0.791666666666667
exp2,53,skilled,Private,0.683333333333333
exp2,54,skilled,Choice,0.708333333333333
exp2,54,skilled,Private,0.483333333333333
exp2,55,skilled,Choice,0.725
exp2,55,skilled,Private,0.6
exp2,56,skilled,Choice,0.658333333333333
exp2,56,skilled,Private,0.616666666666667
exp2,57,unskilled,Choice,0.658333333333333
exp2,57,unskilled,Private,0.683333333333333
exp2,58,unskilled,Choice,0.725
exp2,58,unskilled,Private,0.616666666666667
exp2,59,unskilled,Choice,0.658333333333333
exp2,59,unskilled,Private,0.8
exp2,60,skilled,Choice,0.65
exp2,60,skilled,Private,0.633333333333333
exp2,61,skilled,Choice,0.491666666666667
exp2,61,skilled,Private,0.416666666666667
exp2,62,unskilled,Choice,0.875
exp2,62,unskilled,Private,0.683333333333333
exp2,63,unskilled,Choice,0.675
exp2,63,unskilled,Private,0.6
exp2,64,unskilled,Choice,0.583333333333333
exp2,64,unskilled,Private,0.533333333333333
exp2,65,skilled,Choice,0.675
exp2,65,skilled,Private,0.666666666666667
exp2,66,skilled,Choice,0.558333333333333
exp2,66,skilled,Private,0.416666666666667
exp2,67,skilled,Choice,0.491666666666667
exp2,67,skilled,Private,0.616666666666667
exp2,69,skilled,Choice,0.675
exp2,69,skilled,Private,0.65
exp2,70,unskilled,Choice,0.583333333333333
exp2,70,unskilled,Private,0.566666666666667
exp2,72,unskilled,Choice,0.458333333333333
exp2,72,unskilled,Private,0.566666666666667
