exp,group,criterion,model,param,id,param_estimate
exp1,skilled,lpp,VS,beta,3,0.688801265180037
exp1,skilled,lpp,VS,beta,4,3.44660578285117
exp1,skilled,lpp,VS,beta,5,6.35861474250693
exp1,skilled,lpp,VS,beta,6,4.25879950086123
exp1,skilled,lpp,VS,beta,7,2.14105828693034
exp1,skilled,lpp,VS,beta,8,2.60461715827713
exp1,skilled,lpp,VS,beta,9,5.4896862724707
exp1,skilled,lpp,VS,beta,10,1.20992641213381
exp1,skilled,lpp,VS,beta,11,1.20849677050907
exp1,skilled,lpp,VS,beta,12,0.979829719635653
exp1,skilled,lpp,VS,beta,13,6.31295019677492
exp1,skilled,lpp,VS,beta,14,2.82558504580324
exp1,skilled,lpp,VS,beta,15,5.84748919543394
exp1,skilled,lpp,VS,beta,16,1.19077959453149
exp1,skilled,lpp,VS,beta,17,1.50968801218353
exp1,skilled,lpp,VS,beta,18,1.61191438982307
exp1,skilled,lpp,VS,beta,19,4.25039656090454
exp1,skilled,lpp,VS,beta,20,4.18763886103719
exp1,skilled,lpp,VS,beta,21,1.20640421736069
exp1,skilled,lpp,VS,beta,22,5.30469489059959
exp1,skilled,lpp,VS,beta,23,2.73679004929379
exp1,skilled,lpp,VS,beta,24,6.03982916699206
exp1,skilled,lpp,VS,beta,25,0.451436143812194
exp1,skilled,lpp,VS,beta,26,0.344420932587185
exp1,unskilled,lpp,VS,beta,3,1.55109861136784
exp1,unskilled,lpp,VS,beta,4,5.19941177247191
exp1,unskilled,lpp,VS,beta,5,9.43310953632178
exp1,unskilled,lpp,VS,beta,6,2.56920647029601
exp1,unskilled,lpp,VS,beta,7,2.05688320754424
exp1,unskilled,lpp,VS,beta,8,4.00469904930129
exp1,unskilled,lpp,VS,beta,9,6.12666686759574
exp1,unskilled,lpp,VS,beta,10,1.45855283790306
exp1,unskilled,lpp,VS,beta,11,0.935016793814451
exp1,unskilled,lpp,VS,beta,12,1.19513125372295
exp1,unskilled,lpp,VS,beta,13,5.34318555156045
exp1,unskilled,lpp,VS,beta,14,2.35463879885857
exp1,unskilled,lpp,VS,beta,15,6.02682366648951
exp1,unskilled,lpp,VS,beta,16,1.84766368968375
exp1,unskilled,lpp,VS,beta,17,1.71813736762209
exp1,unskilled,lpp,VS,beta,18,2.23322051485452
exp1,unskilled,lpp,VS,beta,19,3.65347455697301
exp1,unskilled,lpp,VS,beta,20,7.37797723906983
exp1,unskilled,lpp,VS,beta,21,0.990280888537198
exp1,unskilled,lpp,VS,beta,22,8.18191934762324
exp1,unskilled,lpp,VS,beta,23,4.76892598025993
exp1,unskilled,lpp,VS,beta,24,3.42822444309183
exp1,unskilled,lpp,VS,beta,25,0.833938803266364
exp1,unskilled,lpp,VS,beta,26,0.498650512504985
