exp,group,criterion,model,param,id,param_estimate
exp2,skilled,lpp,VS,alpha_p,15,0.41771641757101
exp2,skilled,lpp,VS,alpha_p,19,0.11910570045087
exp2,skilled,lpp,VS,alpha_p,30,0.104164722496195
exp2,skilled,lpp,VS,alpha_p,33,0.051913768789292
exp2,skilled,lpp,VS,alpha_p,35,0.422940861391663
exp2,skilled,lpp,VS,alpha_p,40,0.016371807258363
exp2,skilled,lpp,VS,alpha_p,42,0.911796753579803
exp2,skilled,lpp,VS,alpha_p,46,0.340753559357378
exp2,skilled,lpp,VS,alpha_p,48,0.144627782063271
exp2,skilled,lpp,VS,alpha_p,50,0.150594772950521
exp2,skilled,lpp,VS,alpha_p,51,0.067995372419954
exp2,skilled,lpp,VS,alpha_p,52,0.026375643072851
exp2,skilled,lpp,VS,alpha_p,53,0.126076660655831
exp2,skilled,lpp,VS,alpha_p,54,0.082951728539981
exp2,skilled,lpp,VS,alpha_p,55,0.122685385695993
exp2,skilled,lpp,VS,alpha_p,56,0.033083171426652
exp2,skilled,lpp,VS,alpha_p,60,0.45175470329383
exp2,skilled,lpp,VS,alpha_p,61,0.559409175369756
exp2,skilled,lpp,VS,alpha_p,65,0.267319013015622
exp2,skilled,lpp,VS,alpha_p,66,0.020848849193766
exp2,skilled,lpp,VS,alpha_p,67,0.418450522354029
exp2,skilled,lpp,VS,alpha_p,69,0.227992974964145
exp2,unskilled,lpp,VS,alpha_p,28,0.001048058519979
exp2,unskilled,lpp,VS,alpha_p,31,0.185238459581256
exp2,unskilled,lpp,VS,alpha_p,32,0.046242085656305
exp2,unskilled,lpp,VS,alpha_p,34,0.034660273275288
exp2,unskilled,lpp,VS,alpha_p,36,0.061397884913906
exp2,unskilled,lpp,VS,alpha_p,37,0.549136990577567
exp2,unskilled,lpp,VS,alpha_p,38,0.06963067816735
exp2,unskilled,lpp,VS,alpha_p,39,0.061701659869337
exp2,unskilled,lpp,VS,alpha_p,41,0.085831525716909
exp2,unskilled,lpp,VS,alpha_p,43,0.327650539315768
exp2,unskilled,lpp,VS,alpha_p,44,0.850494624406428
exp2,unskilled,lpp,VS,alpha_p,45,0.021877776993947
exp2,unskilled,lpp,VS,alpha_p,47,0.58819264006316
exp2,unskilled,lpp,VS,alpha_p,49,0.097686361311277
exp2,unskilled,lpp,VS,alpha_p,57,0.111735793389691
exp2,unskilled,lpp,VS,alpha_p,58,0.056335892390172
exp2,unskilled,lpp,VS,alpha_p,59,0.436941149584454
exp2,unskilled,lpp,VS,alpha_p,62,0.097397277509667
exp2,unskilled,lpp,VS,alpha_p,63,0.724371196730687
exp2,unskilled,lpp,VS,alpha_p,64,0.076925726821328
exp2,unskilled,lpp,VS,alpha_p,70,0.895174068770839
exp2,unskilled,lpp,VS,alpha_p,72,0.968277104482431
