exp,group,criterion,model,param,id,param_estimate
exp2,skilled,lpp,VS,kappa,15,0.673064741248842
exp2,skilled,lpp,VS,kappa,19,-0.294849251639128
exp2,skilled,lpp,VS,kappa,30,0.004345327389105
exp2,skilled,lpp,VS,kappa,33,0.02902988985154
exp2,skilled,lpp,VS,kappa,35,0.197675264842309
exp2,skilled,lpp,VS,kappa,40,-1.21767680330869
exp2,skilled,lpp,VS,kappa,42,0.159167139133405
exp2,skilled,lpp,VS,kappa,46,0.091549321811954
exp2,skilled,lpp,VS,kappa,48,0.227357470503457
exp2,skilled,lpp,VS,kappa,50,0.5208436430354
exp2,skilled,lpp,VS,kappa,51,0.328211167534635
exp2,skilled,lpp,VS,kappa,52,0.179929380197975
exp2,skilled,lpp,VS,kappa,53,0.079841635904645
exp2,skilled,lpp,VS,kappa,54,0.186300175915441
exp2,skilled,lpp,VS,kappa,55,0.24538471506107
exp2,skilled,lpp,VS,kappa,56,0.512610002621536
exp2,skilled,lpp,VS,kappa,60,0.346585783828194
exp2,skilled,lpp,VS,kappa,61,0.430394172395093
exp2,skilled,lpp,VS,kappa,65,0.34107245536345
exp2,skilled,lpp,VS,kappa,66,-0.315976962144821
exp2,skilled,lpp,VS,kappa,67,0.686020611857222
exp2,skilled,lpp,VS,kappa,69,0.135477043399588
exp2,unskilled,lpp,VS,kappa,28,-0.007311999230807
exp2,unskilled,lpp,VS,kappa,31,0.231378217148204
exp2,unskilled,lpp,VS,kappa,32,0.057810543549956
exp2,unskilled,lpp,VS,kappa,34,0.166200501634649
exp2,unskilled,lpp,VS,kappa,36,0.083188026058332
exp2,unskilled,lpp,VS,kappa,37,0.446849645581272
exp2,unskilled,lpp,VS,kappa,38,0.577303451786646
exp2,unskilled,lpp,VS,kappa,39,0.171123564660862
exp2,unskilled,lpp,VS,kappa,41,0.098302138020977
exp2,unskilled,lpp,VS,kappa,43,0.318706775564
exp2,unskilled,lpp,VS,kappa,44,0.749896527129852
exp2,unskilled,lpp,VS,kappa,45,-0.299479462823935
exp2,unskilled,lpp,VS,kappa,47,0.170568521941676
exp2,unskilled,lpp,VS,kappa,49,0.024126043835097
exp2,unskilled,lpp,VS,kappa,57,-0.061099797199767
exp2,unskilled,lpp,VS,kappa,58,-0.023344359721534
exp2,unskilled,lpp,VS,kappa,59,0.284058704630175
exp2,unskilled,lpp,VS,kappa,62,0.548024808637366
exp2,unskilled,lpp,VS,kappa,63,0.840539681192817
exp2,unskilled,lpp,VS,kappa,64,-0.173908577906025
exp2,unskilled,lpp,VS,kappa,70,0.942606867099139
exp2,unskilled,lpp,VS,kappa,72,0.69248865857485
