model,expid,variable,value
data,3,d1,0.588235294117647
data,4,d1,0.894736842105263
data,5,d1,0.842105263157895
data,6,d1,0.7
data,7,d1,0.684210526315789
data,8,d1,0.588235294117647
data,9,d1,0.666666666666667
data,10,d1,0.888888888888889
data,11,d1,0.684210526315789
data,12,d1,0.789473684210526
data,13,d1,0.842105263157895
data,14,d1,0.736842105263158
data,15,d1,0.684210526315789
data,16,d1,0.727272727272727
data,17,d1,0.571428571428571
data,18,d1,0.411764705882353
data,19,d1,0.75
data,20,d1,0.619047619047619
data,21,d1,0.782608695652174
data,22,d1,0.526315789473684
data,23,d1,0.833333333333333
data,24,d1,0.789473684210526
data,25,d1,0.352941176470588
data,26,d1,0.35
MB,3,d1,0.573529411764706
DB1,3,d1,0.632352941176471
DB6,3,d1,0.614705882352941
VS,3,d1,0.632352941176471
MB,4,d1,0.826315789473684
DB1,4,d1,0.842105263157895
DB6,4,d1,0.831578947368421
VS,4,d1,0.855263157894737
MB,5,d1,0.755263157894737
DB1,5,d1,0.797368421052632
DB6,5,d1,0.810526315789474
VS,5,d1,0.75
MB,6,d1,0.64
DB1,6,d1,0.65
DB6,6,d1,0.645
VS,6,d1,0.6875
MB,7,d1,0.728947368421053
DB1,7,d1,0.728947368421053
DB6,7,d1,0.739473684210526
VS,7,d1,0.789473684210526
MB,8,d1,0.685294117647059
DB1,8,d1,0.670588235294118
DB6,8,d1,0.726470588235294
VS,8,d1,0.644117647058824
MB,9,d1,0.688095238095238
DB1,9,d1,0.704761904761905
DB6,9,d1,0.692857142857143
VS,9,d1,0.685714285714286
MB,10,d1,0.775
DB1,10,d1,0.861111111111111
DB6,10,d1,0.811111111111111
VS,10,d1,0.827777777777778
MB,11,d1,0.618421052631579
DB1,11,d1,0.636842105263158
DB6,11,d1,0.671052631578947
VS,11,d1,0.655263157894737
MB,12,d1,0.623684210526316
DB1,12,d1,0.752631578947368
DB6,12,d1,0.747368421052632
VS,12,d1,0.702631578947368
MB,13,d1,0.715789473684211
DB1,13,d1,0.676315789473684
DB6,13,d1,0.747368421052632
VS,13,d1,0.784210526315789
MB,14,d1,0.628947368421053
DB1,14,d1,0.602631578947368
DB6,14,d1,0.65
VS,14,d1,0.681578947368421
MB,15,d1,0.736842105263158
DB1,15,d1,0.715789473684211
DB6,15,d1,0.713157894736842
VS,15,d1,0.742105263157895
MB,16,d1,0.763636363636364
DB1,16,d1,0.754545454545455
DB6,16,d1,0.754545454545455
VS,16,d1,0.827272727272727
MB,17,d1,0.595238095238095
DB1,17,d1,0.616666666666667
DB6,17,d1,0.628571428571429
VS,17,d1,0.647619047619048
MB,18,d1,0.576470588235294
DB1,18,d1,0.614705882352941
DB6,18,d1,0.614705882352941
VS,18,d1,0.638235294117647
MB,19,d1,0.678125
DB1,19,d1,0.653125
DB6,19,d1,0.75625
VS,19,d1,0.746875
MB,20,d1,0.673809523809524
DB1,20,d1,0.69047619047619
DB6,20,d1,0.692857142857143
VS,20,d1,0.635714285714286
MB,21,d1,0.66304347826087
DB1,21,d1,0.645652173913044
DB6,21,d1,0.704347826086957
VS,21,d1,0.730434782608696
