model,expid,variable,value
data,3,c1,0.409090909090909
data,4,c1,0.789473684210526
data,5,c1,0.708333333333333
data,6,c1,0.68
data,7,c1,0.782608695652174
data,8,c1,0.571428571428571
data,9,c1,0.75
data,10,c1,0.923076923076923
data,11,c1,0.619047619047619
data,12,c1,0.555555555555556
data,13,c1,0.772727272727273
data,14,c1,0.521739130434783
data,15,c1,0.695652173913043
data,16,c1,0.791666666666667
data,17,c1,0.708333333333333
data,18,c1,0.590909090909091
data,19,c1,0.833333333333333
data,20,c1,0.653846153846154
data,21,c1,0.625
data,22,c1,0.5
data,23,c1,0.8
data,24,c1,0.714285714285714
data,25,c1,0.423076923076923
data,26,c1,0.476190476190476
MB,3,c1,0.627272727272727
DB1,3,c1,0.690909090909091
DB6,3,c1,0.645454545454546
VS,3,c1,0.684090909090909
MB,4,c1,0.786842105263158
DB1,4,c1,0.831578947368421
DB6,4,c1,0.813157894736842
VS,4,c1,0.813157894736842
MB,5,c1,0.783333333333333
DB1,5,c1,0.847916666666667
DB6,5,c1,0.845833333333333
VS,5,c1,0.808333333333333
MB,6,c1,0.686
DB1,6,c1,0.662
DB6,6,c1,0.67
VS,6,c1,0.71
MB,7,c1,0.717391304347826
DB1,7,c1,0.671739130434783
DB6,7,c1,0.723913043478261
VS,7,c1,0.75
MB,8,c1,0.630952380952381
DB1,8,c1,0.671428571428571
DB6,8,c1,0.702380952380952
VS,8,c1,0.630952380952381
MB,9,c1,0.7
DB1,9,c1,0.708333333333333
DB6,9,c1,0.69375
VS,9,c1,0.704166666666667
MB,10,c1,0.759615384615385
DB1,10,c1,0.855769230769231
DB6,10,c1,0.834615384615385
VS,10,c1,0.830769230769231
MB,11,c1,0.571428571428571
DB1,11,c1,0.626190476190476
DB6,11,c1,0.623809523809524
VS,11,c1,0.614285714285714
MB,12,c1,0.587037037037037
DB1,12,c1,0.744444444444444
DB6,12,c1,0.72037037037037
VS,12,c1,0.651851851851852
MB,13,c1,0.688636363636364
DB1,13,c1,0.677272727272727
DB6,13,c1,0.729545454545454
VS,13,c1,0.747727272727273
MB,14,c1,0.617391304347826
DB1,14,c1,0.606521739130435
DB6,14,c1,0.660869565217391
VS,14,c1,0.665217391304348
MB,15,c1,0.765217391304348
DB1,15,c1,0.776086956521739
DB6,15,c1,0.784782608695652
VS,15,c1,0.767391304347826
MB,16,c1,0.816666666666667
DB1,16,c1,0.847916666666667
DB6,16,c1,0.845833333333333
VS,16,c1,0.864583333333333
MB,17,c1,0.597916666666667
DB1,17,c1,0.647916666666667
DB6,17,c1,0.666666666666667
VS,17,c1,0.660416666666667
MB,18,c1,0.645454545454546
DB1,18,c1,0.684090909090909
DB6,18,c1,0.681818181818182
VS,18,c1,0.709090909090909
MB,19,c1,0.7125
DB1,19,c1,0.695833333333333
DB6,19,c1,0.797916666666667
VS,19,c1,0.739583333333333
MB,20,c1,0.707692307692308
DB1,20,c1,0.738461538461539
DB6,20,c1,0.719230769230769
VS,20,c1,0.690384615384615
MB,21,c1,0.691666666666667
DB1,21,c1,0.6875
DB6,21,c1,0.697916666666667
VS,21,c1,0.725
MB,22,c1,0.683333333333333
DB1,22,c1,0.666666666666667
DB6,22,c1,0.675
VS,22,c1,0.702083333333333
MB,23,c1,0.7
DB1,23,c1,0.76
DB6,23,c1,0.826
VS,23,c1,0.832
MB,24,c1,0.759523809523809
DB1,24,c1,0.70952380952381
DB6,24,c1,0.771428571428571
VS,24,c1,0.771428571428571
MB,25,c1,0.526923076923077
DB1,25,c1,0.517307692307692
DB6,25,c1,0.551923076923077
VS,25,c1,0.569230769230769
MB,26,c1,0.526190476190476
DB1,26,c1,0.573809523809524
DB6,26,c1,0.557142857142857
VS,26,c1,0.530952380952381
data,3,c2,0.5
data,4,c2,0.789473684210526
data,5,c2,0.666666666666667
data,6,c2,0.76
data,7,c2,0.869565217391304
data,8,c2,0.714285714285714
data,9,c2,0.75
data,10,c2,0.730769230769231
data,11,c2,0.666666666666667
data,12,c2,0.481481481481481
data,13,c2,0.772727272727273
data,14,c2,0.652173913043478
data,15,c2,0.695652173913043
data,16,c2,0.875
data,17,c2,0.583333333333333
data,18,c2,0.636363636363636
data,19,c2,0.666666666666667
data,20,c2,0.5
data,21,c2,0.708333333333333
data,22,c2,0.416666666666667
data,23,c2,0.8
data,24,c2,0.714285714285714
data,25,c2,0.461538461538462
data,26,c2,0.428571428571429
MB,3,c2,0.656818181818182
