model,expid,variable,value
data,15,d1,0.782608695652174
data,19,d1,0.555555555555556
data,30,d1,0.566666666666667
data,33,d1,0.566666666666667
data,35,d1,0.612903225806452
data,40,d1,0.617647058823529
data,42,d1,0.392857142857143
data,46,d1,0.481481481481481
data,48,d1,0.714285714285714
data,50,d1,0.481481481481481
data,51,d1,0.555555555555556
data,52,d1,0.71875
data,53,d1,0.769230769230769
data,54,d1,0.75
data,55,d1,0.566666666666667
data,56,d1,0.65625
data,60,d1,0.84375
data,61,d1,0.448275862068966
data,65,d1,0.709677419354839
data,66,d1,0.5
data,67,d1,0.433333333333333
data,69,d1,0.692307692307692
MB,15,d1,0.671739130434783
DB1,15,d1,0.643478260869565
DB6,15,d1,0.654347826086957
VS,15,d1,0.65
MB,19,d1,0.542592592592593
DB1,19,d1,0.566666666666667
DB6,19,d1,0.535185185185185
VS,19,d1,0.55
MB,30,d1,0.606666666666667
DB1,30,d1,0.6
DB6,30,d1,0.65
VS,30,d1,0.663333333333333
MB,33,d1,0.658333333333333
DB1,33,d1,0.671666666666667
DB6,33,d1,0.678333333333333
VS,33,d1,0.681666666666667
MB,35,d1,0.564516129032258
DB1,35,d1,0.55
DB6,35,d1,0.580645161290323
VS,35,d1,0.620967741935484
MB,40,d1,0.489705882352941
DB1,40,d1,0.498529411764706
DB6,40,d1,0.557352941176471
VS,40,d1,0.601470588235294
MB,42,d1,0.546428571428571
DB1,42,d1,0.573214285714286
DB6,42,d1,0.576785714285714
VS,42,d1,0.598214285714286
MB,46,d1,0.553703703703704
DB1,46,d1,0.57962962962963
DB6,46,d1,0.535185185185185
VS,46,d1,0.607407407407407
MB,48,d1,0.667857142857143
DB1,48,d1,0.746428571428571
DB6,48,d1,0.766071428571429
VS,48,d1,0.751785714285714
MB,50,d1,0.585185185185185
DB1,50,d1,0.574074074074074
DB6,50,d1,0.607407407407407
VS,50,d1,0.624074074074074
MB,51,d1,0.538888888888889
DB1,51,d1,0.614814814814815
DB6,51,d1,0.607407407407407
VS,51,d1,0.559259259259259
MB,52,d1,0.7171875
DB1,52,d1,0.66875
DB6,52,d1,0.6640625
VS,52,d1,0.6625
MB,53,d1,0.680769230769231
DB1,53,d1,0.619230769230769
DB6,53,d1,0.698076923076923
VS,53,d1,0.657692307692308
MB,54,d1,0.607142857142857
DB1,54,d1,0.673214285714286
DB6,54,d1,0.678571428571429
VS,54,d1,0.610714285714286
MB,55,d1,0.626666666666667
DB1,55,d1,0.59
DB6,55,d1,0.623333333333333
VS,55,d1,0.663333333333333
MB,56,d1,0.584375
DB1,56,d1,0.6265625
DB6,56,d1,0.6234375
VS,56,d1,0.6078125
MB,60,d1,0.6359375
DB1,60,d1,0.7640625
DB6,60,d1,0.740625
VS,60,d1,0.74375
MB,61,d1,0.529310344827586
DB1,61,d1,0.498275862068966
DB6,61,d1,0.501724137931034
VS,61,d1,0.506896551724138
MB,65,d1,0.65
DB1,65,d1,0.67258064516129
DB6,65,d1,0.664516129032258
VS,65,d1,0.653225806451613
MB,66,d1,0.53125
DB1,66,d1,0.51875
DB6,66,d1,0.50625
VS,66,d1,0.504166666666667
MB,67,d1,0.565
DB1,67,d1,0.56
DB6,67,d1,0.521666666666667
VS,67,d1,0.545
MB,69,d1,0.609615384615385
DB1,69,d1,0.636538461538461
DB6,69,d1,0.686538461538462
VS,69,d1,0.648076923076923
data,15,d2,0.521739130434783
data,19,d2,0.592592592592593
data,30,d2,0.566666666666667
data,33,d2,0.7
data,35,d2,0.548387096774194
data,40,d2,0.441176470588235
data,42,d2,0.464285714285714
data,46,d2,0.555555555555556
data,48,d2,0.714285714285714
data,50,d2,0.592592592592593
data,51,d2,0.703703703703704
data,52,d2,0.6875
data,53,d2,0.653846153846154
data,54,d2,0.535714285714286
data,55,d2,0.633333333333333
data,56,d2,0.625
data,60,d2,0.71875
data,61,d2,0.551724137931034
data,65,d2,0.612903225806452
data,66,d2,0.666666666666667
data,67,d2,0.5
data,69,d2,0.692307692307692
MB,15,d2,0.56304347826087
DB1,15,d2,0.508695652173913
DB6,15,d2,0.558695652173913
VS,15,d2,0.571739130434783
MB,19,d2,0.546296296296296
DB1,19,d2,0.522222222222222
DB6,19,d2,0.557407407407407
VS,19,d2,0.553703703703704
MB,30,d2,0.676666666666667
DB1,30,d2,0.613333333333333
DB6,30,d2,0.68
VS,30,d2,0.686666666666667
MB,33,d2,0.691666666666667
DB1,33,d2,0.655
DB6,33,d2,0.728333333333333
VS,33,d2,0.711666666666667
MB,35,d2,0.583870967741935
DB1,35,d2,0.530645161290323
DB6,35,d2,0.593548387096774
VS,35,d2,0.637096774193548
MB,40,d2,0.498529411764706
DB1,40,d2,0.498529411764706
DB6,40,d2,0.548529411764706
VS,40,d2,0.566176470588235
MB,42,d2,0.582142857142857
DB1,42,d2,0.5875
DB6,42,d2,0.580357142857143
VS,42,d2,0.569642857142857
MB,46,d2,0.524074074074074
DB1,46,d2,0.557407407407407
DB6,46,d2,0.587037037037037
VS,46,d2,0.577777777777778
MB,48,d2,0.692857142857143
DB1,48,d2,0.639285714285714
DB6,48,d2,0.766071428571429
VS,48,d2,0.7625
MB,50,d2,0.551851851851852
DB1,50,d2,0.596296296296296
DB6,50,d2,0.644444444444444
VS,50,d2,0.653703703703704
MB,51,d2,0.646296296296296
DB1,51,d2,0.611111111111111
DB6,51,d2,0.67037037037037
VS,51,d2,0.666666666666667
MB,52,d2,0.6015625
DB1,52,d2,0.5625
DB6,52,d2,0.5953125
VS,52,d2,0.603125
MB,53,d2,0.611538461538462
DB1,53,d2,0.6
DB6,53,d2,0.636538461538461
VS,53,d2,0.630769230769231
MB,54,d2,0.625
DB1,54,d2,0.530357142857143
DB6,54,d2,0.625
VS,54,d2,0.621428571428571
MB,55,d2,0.67
DB1,55,d2,0.646666666666667
DB6,55,d2,0.64
VS,55,d2,0.666666666666667
MB,56,d2,0.553125
DB1,56,d2,0.5828125
DB6,56,d2,0.5984375
VS,56,d2,0.6234375
MB,60,d2,0.6546875
DB1,60,d2,0.6171875
DB6,60,d2,0.66875
VS,60,d2,0.690625
MB,61,d2,0.55
DB1,61,d2,0.508620689655172
DB6,61,d2,0.525862068965517
VS,61,d2,0.506896551724138
MB,65,d2,0.604838709677419
DB1,65,d2,0.582258064516129
DB6,65,d2,0.67741935483871
VS,65,d2,0.601612903225806
MB,66,d2,0.56875
DB1,66,d2,0.510416666666667
DB6,66,d2,0.53125
VS,66,d2,0.516666666666667
MB,67,d2,0.505
DB1,67,d2,0.543333333333333
DB6,67,d2,0.548333333333333
VS,67,d2,0.571666666666667
MB,69,d2,0.598076923076923
DB1,69,d2,0.590384615384615
DB6,69,d2,0.651923076923077
VS,69,d2,0.648076923076923
