model,expid,variable,value
data,15,c1,0.529411764705882
data,19,c1,0.6
data,30,c1,0.583333333333333
data,33,c1,0.67741935483871
data,35,c1,0.657894736842105
data,40,c1,0.470588235294118
data,42,c1,0.555555555555556
data,46,c1,0.636363636363636
data,48,c1,0.823529411764706
data,50,c1,0.605263157894737
data,51,c1,0.733333333333333
data,52,c1,0.696969696969697
data,53,c1,0.615384615384615
data,54,c1,0.725
data,55,c1,0.470588235294118
data,56,c1,0.567567567567568
data,60,c1,0.780487804878049
data,61,c1,0.516129032258065
data,65,c1,0.583333333333333
data,66,c1,0.470588235294118
data,67,c1,0.567567567567568
data,69,c1,0.685714285714286
MB,15,c1,0.617647058823529
DB1,15,c1,0.605882352941176
DB6,15,c1,0.570588235294118
VS,15,c1,0.617647058823529
MB,19,c1,0.554285714285714
DB1,19,c1,0.572857142857143
DB6,19,c1,0.564285714285714
VS,19,c1,0.571428571428571
MB,30,c1,0.588888888888889
DB1,30,c1,0.604166666666667
DB6,30,c1,0.644444444444444
VS,30,c1,0.6125
MB,33,c1,0.662903225806452
DB1,33,c1,0.666129032258065
DB6,33,c1,0.709677419354839
VS,33,c1,0.653225806451613
MB,35,c1,0.602631578947368
DB1,35,c1,0.538157894736842
DB6,35,c1,0.589473684210526
VS,35,c1,0.648684210526316
MB,40,c1,0.526470588235294
DB1,40,c1,0.519117647058824
DB6,40,c1,0.514705882352941
VS,40,c1,0.582352941176471
MB,42,c1,0.544444444444444
DB1,42,c1,0.566666666666667
DB6,42,c1,0.6125
VS,42,c1,0.594444444444444
MB,46,c1,0.540909090909091
DB1,46,c1,0.587878787878788
DB6,46,c1,0.574242424242424
VS,46,c1,0.598484848484849
MB,48,c1,0.739705882352941
DB1,48,c1,0.755882352941176
DB6,48,c1,0.761764705882353
VS,48,c1,0.795588235294118
MB,50,c1,0.592105263157895
DB1,50,c1,0.581578947368421
DB6,50,c1,0.636842105263158
VS,50,c1,0.652631578947368
MB,51,c1,0.635
DB1,51,c1,0.646666666666667
DB6,51,c1,0.706666666666667
VS,51,c1,0.663333333333333
MB,52,c1,0.663636363636364
DB1,52,c1,0.627272727272727
DB6,52,c1,0.674242424242424
VS,52,c1,0.666666666666667
MB,53,c1,0.607692307692308
DB1,53,c1,0.584615384615385
DB6,53,c1,0.629487179487179
VS,53,c1,0.624358974358974
MB,54,c1,0.63625
DB1,54,c1,0.69
DB6,54,c1,0.68125
VS,54,c1,0.64625
MB,55,c1,0.597058823529412
DB1,55,c1,0.575
DB6,55,c1,0.601470588235294
VS,55,c1,0.614705882352941
MB,56,c1,0.551351351351351
DB1,56,c1,0.591891891891892
DB6,56,c1,0.639189189189189
VS,56,c1,0.587837837837838
MB,60,c1,0.621951219512195
DB1,60,c1,0.787804878048781
DB6,60,c1,0.739024390243902
VS,60,c1,0.742682926829268
MB,61,c1,0.532258064516129
DB1,61,c1,0.517741935483871
DB6,61,c1,0.482258064516129
VS,61,c1,0.537096774193548
MB,65,c1,0.623611111111111
DB1,65,c1,0.644444444444444
DB6,65,c1,0.641666666666667
VS,65,c1,0.633333333333333
MB,66,c1,0.516176470588235
DB1,66,c1,0.504411764705882
DB6,66,c1,0.492647058823529
VS,66,c1,0.533823529411765
MB,67,c1,0.563513513513514
