model,trial,sim,real
VS,1,0.495833333333333,0.729166666666667
VS,2,0.555729166666667,0.645833333333333
VS,3,0.615625,0.65625
VS,4,0.674479166666667,0.635416666666667
VS,5,0.691666666666667,0.677083333333333
VS,6,0.705208333333333,0.729166666666667
VS,7,0.741145833333333,0.739583333333333
VS,8,0.745833333333333,0.739583333333333
VS,9,0.7640625,0.739583333333333
VS,10,0.760416666666667,0.708333333333333
VS,11,0.775520833333333,0.708333333333333
VS,12,0.767708333333333,0.739583333333333
VS,13,0.769791666666667,0.791666666666667
VS,14,0.79375,0.791666666666667
VS,15,0.7859375,0.791666666666667
VS,16,0.7859375,0.8125
VS,17,0.7953125,0.822916666666667
VS,18,0.803645833333333,0.770833333333333
VS,19,0.799479166666667,0.833333333333333
VS,20,0.803125,0.822916666666667
