model,trial,sim,real
VS,1,0.491666666666667,0.572916666666667
VS,2,0.577083333333333,0.625
VS,3,0.60625,0.677083333333333
VS,4,0.634375,0.666666666666667
VS,5,0.653125,0.65625
VS,6,0.680208333333333,0.708333333333333
VS,7,0.695833333333333,0.65625
VS,8,0.7078125,0.65625
VS,9,0.725,0.739583333333333
VS,10,0.7296875,0.770833333333333
VS,11,0.7375,0.791666666666667
VS,12,0.746875,0.802083333333333
VS,13,0.75,0.8125
VS,14,0.744791666666667,0.833333333333333
VS,15,0.7421875,0.760416666666667
VS,16,0.769270833333333,0.770833333333333
VS,17,0.763541666666667,0.802083333333333
VS,18,0.770833333333333,0.802083333333333
VS,19,0.761979166666667,0.78125
VS,20,0.759375,0.791666666666667
