model,trial,sim,real
VS,1,0.496969696969697,0.484848484848485
VS,2,0.541477272727273,0.613636363636364
VS,3,0.566666666666667,0.643939393939394
VS,4,0.575378787878788,0.613636363636364
VS,5,0.588636363636364,0.560606060606061
VS,6,0.591856060606061,0.598484848484849
VS,7,0.600378787878788,0.575757575757576
VS,8,0.610984848484848,0.590909090909091
VS,9,0.621969696969697,0.590909090909091
VS,10,0.622537878787879,0.659090909090909
VS,11,0.620265151515151,0.674242424242424
VS,12,0.634280303030303,0.772727272727273
VS,13,0.623674242424242,0.696969696969697
VS,14,0.632575757575758,0.666666666666667
VS,15,0.638257575757576,0.681818181818182
VS,16,0.627083333333333,0.643939393939394
VS,17,0.635416666666667,0.674242424242424
VS,18,0.640719696969697,0.71969696969697
VS,19,0.642045454545455,0.765151515151515
VS,20,0.646022727272727,0.689393939393939
