model,id,sim,real
VS,15,0.651666666666667,0.733333333333333
VS,19,0.552083333333333,0.533333333333333
VS,30,0.726666666666667,0.658333333333333
VS,33,0.740416666666667,0.716666666666667
VS,35,0.634166666666667,0.608333333333333
VS,40,0.5575,0.525
VS,42,0.59125,0.483333333333333
VS,46,0.598333333333333,0.591666666666667
VS,48,0.86375,0.791666666666667
VS,50,0.69375,0.7
VS,51,0.71625,0.741666666666667
VS,52,0.688333333333333,0.7
VS,53,0.765,0.791666666666667
VS,54,0.689583333333333,0.708333333333333
VS,55,0.69375,0.725
VS,56,0.642083333333333,0.658333333333333
VS,60,0.700416666666667,0.65
VS,61,0.529583333333333,0.491666666666667
VS,65,0.668333333333333,0.675
VS,66,0.539166666666667,0.558333333333333
VS,67,0.564583333333333,0.491666666666667
VS,69,0.674166666666667,0.675
