model,id,sim,real
VS,28,0.36375,0.383333333333333
VS,31,0.642083333333333,0.683333333333333
VS,32,0.67875,0.65
VS,34,0.629583333333333,0.716666666666667
VS,36,0.6425,0.641666666666667
VS,37,0.480833333333333,0.483333333333333
VS,38,0.47875,0.491666666666667
VS,39,0.725,0.708333333333333
VS,41,0.61125,0.591666666666667
VS,43,0.514166666666667,0.508333333333333
VS,44,0.503333333333333,0.625
VS,45,0.516666666666667,0.475
VS,47,0.55375,0.616666666666667
VS,49,0.40875,0.366666666666667
VS,57,0.57125,0.658333333333333
VS,58,0.628333333333333,0.725
VS,59,0.595,0.658333333333333
VS,62,0.624166666666667,0.875
VS,63,0.579166666666667,0.675
VS,64,0.537916666666667,0.583333333333333
VS,70,0.50875,0.583333333333333
VS,72,0.47125,0.458333333333333
