"expid","id","session","trial","condition.demskill","condition.obs","state","p1","p2","ctrial","clr","cgb","rtime","rgb","out"
3,3,1,1,"skilled.dem","Choice",2,0.7,0.3,1,-1,0,0.66761,0,-1
3,"dem",1,2,"skilled.dem","Choice",2,0.7,0.3,2,1,1,0.3983,"NA","NA"
3,3,1,3,"skilled.dem","Choice",2,0.7,0.3,3,1,0,0.86347,1,1
3,3,1,4,"skilled.dem","Choice",2,0.7,0.3,4,1,0,0.67036,1,1
3,"dem",1,5,"skilled.dem","Choice",2,0.7,0.3,5,1,1,1.9366,"NA","NA"
3,3,1,6,"skilled.dem","Choice",2,0.7,0.3,6,-1,0,1.1113,0,-1
3,"dem",1,7,"skilled.dem","Choice",2,0.7,0.3,7,1,1,2.1673,"NA","NA"
3,3,1,8,"skilled.dem","Choice",2,0.7,0.3,8,-1,1,1.6537,1,1
3,"dem",1,9,"skilled.dem","Choice",2,0.7,0.3,9,-1,1,3.0894,"NA","NA"
3,"dem",1,10,"skilled.dem","Choice",2,0.7,0.3,10,1,0,1.4691,"NA","NA"
3,3,1,11,"skilled.dem","Choice",2,0.7,0.3,11,1,0,0.44228,1,1
3,"dem",1,12,"skilled.dem","Choice",2,0.7,0.3,12,1,1,0.51573,"NA","NA"
3,3,1,13,"skilled.dem","Choice",2,0.7,0.3,13,1,0,1.0833,1,1
3,3,1,14,"skilled.dem","Choice",2,0.7,0.3,14,-1,1,0.002957,1,1
3,"dem",1,15,"skilled.dem","Choice",2,0.7,0.3,15,1,1,1.2022,"NA","NA"
3,3,1,16,"skilled.dem","Choice",2,0.7,0.3,16,1,1,0.85297,1,1
3,"dem",1,17,"skilled.dem","Choice",2,0.7,0.3,17,1,1,1.0164,"NA","NA"
3,3,1,18,"skilled.dem","Choice",2,0.7,0.3,18,1,0,1.3054,0,-1
3,"dem",1,19,"skilled.dem","Choice",2,0.7,0.3,19,-1,1,0.092117,"NA","NA"
3,"dem",1,20,"skilled.dem","Choice",2,0.7,0.3,20,-1,0,1.7233,"NA","NA"
3,"dem",1,21,"skilled.dem","Choice",2,0.7,0.3,21,-1,1,0.0018554,"NA","NA"
3,3,1,22,"skilled.dem","Choice",2,0.7,0.3,22,-1,0,0.0029102,0,-1
3,"dem",1,23,"skilled.dem","Choice",2,0.7,0.3,23,-1,1,0.0019055,"NA","NA"
3,3,1,24,"skilled.dem","Choice",2,0.7,0.3,24,1,1,0.0019563,1,1
3,"dem",1,25,"skilled.dem","Choice",2,0.7,0.3,25,1,1,0.23494,"NA","NA"
3,"dem",1,26,"skilled.dem","Choice",2,0.7,0.3,26,-1,0,0.0017328,"NA","NA"
3,3,1,27,"skilled.dem","Choice",2,0.7,0.3,27,-1,0,0.38805,0,-1
3,"dem",1,28,"skilled.dem","Choice",2,0.7,0.3,28,1,1,0.22985,"NA","NA"
3,3,1,29,"skilled.dem","Choice",2,0.7,0.3,29,1,0,0.080825,0,-1
3,"dem",1,30,"skilled.dem","Choice",2,0.7,0.3,30,1,1,0.0017379,"NA","NA"
3,3,1,31,"skilled.dem","Choice",2,0.7,0.3,31,-1,1,0.1038,0,-1
3,"dem",1,32,"skilled.dem","Choice",2,0.7,0.3,32,-1,1,0.46194,"NA","NA"
3,3,1,33,"skilled.dem","Choice",2,0.7,0.3,33,1,1,0.71179,1,1
3,"dem",1,34,"skilled.dem","Choice",2,0.7,0.3,34,1,0,0.16438,"NA","NA"
